S.No.,Name,Designation,Department,Domain,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects - Completed,Research Projects - Ongoing,Total Publications,All_Domains,Primary Domain,Domain Category,Total_Projects,Has_Projects
18,Dr Tarun Chaudhary,Assistant Professor (Grade-I),Electronics & Communication Engineering,Nanoelectronics,20,21,14,0,1,55,['nanoelectronics'],nanoelectronics,Electronics,1,True
19,Dr Amina Girdher,Assistant Professor Grade-II,Electronics & Communication Engineering,Spectrum,7,5,0,0,0,12,['communication systems'],communication systems,Networking & Communications,0,False
20,Dr Bodile Roshan Mukindrao,Assistant Professor (Grade-II),Electronics & Communication Engineering,Signal processing,6,8,2,0,1,16,['signal processing'],signal processing,Signal Processing & Control,1,True
21,Dr. Kundan Kumar,Assistant Professor (Grade-II),Electronics & Communication Engineering,Antenna design,13,9,0,0,3,22,['antenna design'],antenna design,Other,3,True
22,Dr Pheiroijam Pooja,Assistant Professor Grade-II,Electronics & Communication Engineering,Nanoelectronics,14,1,2,0,0,17,['nanoelectronics'],nanoelectronics,Electronics,0,False
23,Dr Robin Kalyan,Assistant Professor Grade-II,Electronics & Communication Engineering,Amplifier,5,8,0,0,0,13,['analog electronics'],analog electronics,Electronics,0,False
24,Dr Rohit Singh,Assistant Professor (Grade-II),Electronics & Communication Engineering,Communication Systems,25,6,1,0,2,32,['communication systems'],communication systems,Networking & Communications,2,True
25,Dr Sachchidanand,Assistant Professor Grade-II,Electronics & Communication Engineering,Semi conductors,0,0,0,0,0,0,['semiconductors'],semiconductors,Electronics,0,False
26,Dr Sumon Modak,Assistant Professor Grade-II,Electronics & Communication Engineering,Antenna design,17,8,0,0,0,25,['antenna design'],antenna design,Other,0,False
27,Dr. V Narasimha Nayak,Assistant Professor Grade-II,Electronics & Communication Engineering,Communication Systems,8,8,0,0,0,16,['communication systems'],communication systems,Networking & Communications,0,False
1,Dr Asim Kumar Jana,Professor & Head,BioTechnology,Bioprocess,99,93,15,3,0,207,['bioprocess engineering'],bioprocess engineering,Biotech & Life Sciences,3,True
2,Dr Nitai Basak,Associate Professor,BioTechnology,Bioprocess,32,44,5,1,1,81,['bioprocess engineering'],bioprocess engineering,Biotech & Life Sciences,2,True
3,Dr Anee Mohanty,Assistant Professor (Grade-I),BioTechnology,Microbiology,25,0,12,1,2,37,['microbiology'],microbiology,Biotech & Life Sciences,3,True
4,Dr Indu Chauhan,Assistant Professor (Grade-I),BioTechnology,Bioprocess,16,13,4,1,2,33,['bioprocess engineering'],bioprocess engineering,Biotech & Life Sciences,3,True
5,Dr Mahesh Kumar Sah,Assistant Professor (Grade-I),BioTechnology,Biomaterials,32,37,10,2,1,79,['biomaterials'],biomaterials,Biotech & Life Sciences,3,True
6,Dr Nikhil G N,Assistant Professor (Grade-I),BioTechnology,Bioprocess,31,0,7,1,4,38,['bioprocess engineering'],bioprocess engineering,Biotech & Life Sciences,5,True
7,Dr Prangya Ranjan Rout,Assistant Professor (Grade-I),BioTechnology,Microbiology,45,29,31,1,3,105,['microbiology'],microbiology,Biotech & Life Sciences,4,True
8,Dr. Sumer Singh Meena,Assistant Professor (Grade-I),BioTechnology,Microbiology,20,23,13,1,3,56,['microbiology'],microbiology,Biotech & Life Sciences,4,True
9,Dr Chandi Charan Patra,Assistant Professor (Grade-II),BioTechnology,Waste water managenment,16,0,0,0,0,16,['water and wastewater'],water and wastewater,Civil & Environmental,0,False
10,Dr Manoj Kumar,Assistant Professor (Grade-II),BioTechnology,Waste water managenment,17,1,4,0,0,22,['water and wastewater'],water and wastewater,Civil & Environmental,0,False
11,Dr Pritam Kumar Dikshit,Assistant Professor (Grade-II),BioTechnology,Waste water managenment,44,0,8,0,0,52,['water and wastewater'],water and wastewater,Civil & Environmental,0,False
1,Dr Balbir Singh Kaith,Professor (HAG),Chemistry,Nanotechnology,291,12,19,2,5,322,['nanotechnology'],nanotechnology,Chemical & Materials,7,True
