S.No.,Name,Designation,Department,Domain,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects - Completed,Research Projects - Ongoing,Total Publications,All_Domains,Primary Domain,Domain Category,Total_Projects,Has_Projects
21,Dr Vinil Kumar Gade,Assistant Professor (Grade-II),Civil Engineering,Earth Retaining Structures,7,12,4,0,0,23,['geotechnical engineering'],geotechnical engineering,Civil & Environmental,0,False
1,Dr Arvind Bhardwaj,Professor (HAG),Industrial Production and Engineering,"Life Cycle Assessment,Operations Management",70,68,17,1,0,155,"['life cycle assessment', 'operations management']",life cycle assessment,Sustainability,1,True
2,Dr Rajiv Kumar Garg,Professor (HAG,Industrial Production and Engineering,"Life Cycle Assessment, Traditional Machining",93,28,7,0,1,128,"['life cycle assessment', 'manufacturing']",life cycle assessment,Sustainability,1,True
3,Dr Anish Kumar Sachdeva,Professor,Industrial Production and Engineering,Supply Chain Management,119,62,23,0,3,204,['supply chain management'],supply chain management,Management & Humanities,3,True
4,Dr Vishal Santosh Sharma,Professor,Industrial Production and Engineering,"3D printing, Machining,",74,5,8,0,0,87,"['additive manufacturing', 'manufacturing']",additive manufacturing,Mechanical & Manufacturing,0,False
5,Dr Ajay Gupta,Associate Professor,Industrial Production and Engineering,Management Marketing,56,34,7,0,1,97,['management and marketing'],management and marketing,Management & Humanities,1,True
6,Dr Lakhwinder Pal Singh Jarangal,Associate Professor,Industrial Production and Engineering,Supply Chain Management,60,49,64,2,0,173,['supply chain management'],supply chain management,Management & Humanities,2,True
7,Dr Rajeev Trehan,Associate Professor,Industrial Production and Engineering,Productivity Improvement and Advanced Manufacturing,37,11,3,2,1,51,['operations & manufacturing'],operations & manufacturing,Other,3,True
8,Dr. Rakesh K. Sharma,Associate Professor & Head,Industrial Production and Engineering,"Engineering Management, Engineering Economics",27,19,4,0,0,50,"['engineering management', 'engineering economics']",engineering management,Management & Humanities,0,False
9,Prof. R K Bansal,Associate Professor,Industrial Production and Engineering,Operations Management,0,3,1,0,0,4,['operations management'],operations management,Management & Humanities,0,False
10,Dr Shailendra Singh Bhadauria,Associate Professor,Industrial Production and Engineering,"Multiaxial Fatigue life prediction of weldments, Stress Corrosion Cracking",33,21,8,0,0,62,"['materials fatigue & failure', 'materials corrosion']",materials fatigue & failure,Other,0,False
11,Dr Aviral Mishra,Assistant Professor (Grade-I),Industrial Production and Engineering,"Additive manufacturing, Manufacturing of composites",14,7,5,0,1,26,"['additive manufacturing', 'composite manufacturing']",additive manufacturing,Mechanical & Manufacturing,1,True
12,Dr. Narendra Kumar,Assistant Professor (Grade-I),Industrial Production and Engineering,3D Printing,28,13,15,1,4,56,['additive manufacturing'],additive manufacturing,Mechanical & Manufacturing,5,True
13,Dr Rajeev Verma,Assistant Professor (Grade-I),Industrial Production and Engineering,"Surface Engineering, Tribology",51,30,10,2,1,91,"['surface engineering', 'tribology']",surface engineering,Other,3,True
14,Dr Varun Sharma,Assistant Professor (Grade-I),Industrial Production and Engineering,"Material Science, Tribology,welding",42,22,8,1,0,72,"['materials science', 'tribology', 'welding']",materials science,Chemical & Materials,1,True
15,Dr Bikash Kumar,Assistant Professor (Grade-II),Industrial Production and Engineering,Welding,16,14,4,0,3,34,['welding'],welding,Mechanical & Manufacturing,3,True
16,Dr Gurraj Singh,Assistant Professor (Grade-II),Industrial Production and Engineering,"Machining, Life Cycle Assessment,",35,9,1,0,2,45,"['manufacturing', 'life cycle assessment']",manufacturing,Mechanical & Manufacturing,2,True
17,Dr Vikash Murmu,Assistant Professor Grade-II,Industrial Production and Engineering,Supply chain management,0,0,0,0,0,0,['supply chain management'],supply chain management,Management & Humanities,0,False
1,Dr Ajay K Sharma,Professor (on lien),Computer Science and Engineering,Wireless Communication Systems,209,34,11,5,3,254,['communication systems'],communication systems,Networking & Communications,8,True
2,Dr A L Sangal,Professor (HAG) & Head,Computer Science and Engineering,"ML,Computer Networks",29,19,3,0,0,51,"['machine learning', 'computer networks']",machine learning,AI & ML,0,False
3,Dr Harsh K Verma,Professor,Computer Science and Engineering,Computer Networks,64,44,4,2,0,112,['computer networks'],computer networks,Networking & Communications,2,True
4,Dr Renu Dhir,Professor,Computer Science and Engineering,AI,30,11,5,1,1,46,['artificial intelligence'],artificial intelligence,AI & ML,2,True
5,Mr D K Gupta,Associate Professor,Computer Science and Engineering,"Data Analytics, Operating System Design",10,15,3,0,0,28,"['data analytics', 'operating system design']",data analytics,AI & ML,0,False
6,Dr Geeta Sikka,Associate Professor (on lien),Computer Science and Engineering,Natural Language Processing,54,22,8,2,2,84,['natural language processing'],natural language processing,AI & ML,4,True
7,Dr Rajneesh Rani,Associate Professor,Computer Science and Engineering,Digital Image Processing,72,39,11,2,0,122,['digital image processing'],digital image processing,AI & ML,2,True
8,Dr Amritpal Singh,Assistant Professor (Grade-I),Computer Science and Engineering,Probabilistic Data Structures,23,6,2,1,0,31,['data structures'],data structures,Computer Systems,1,True
9,Dr Aruna Malik,Assistant Professor (Grade-I),Computer Science and Engineering,Virtual private network (VPN),47,18,3,0,0,68,"['network security', 'network security']",network security,Networking & Communications,0,False
10,Dr K P Sharma,Assistant Professor (Grade-I),Computer Science and Engineering,AI,28,23,10,1,3,61,['artificial intelligence'],artificial intelligence,AI & ML,4,True
11,Dr Kunwar Pal,Assistant Professor (Grade-I),Computer Science and Engineering,Computer Network,12,6,1,0,1,19,['computer networks'],computer networks,Networking & Communications,1,True
12,Dr Lalatendu Behera,Assistant Professor (Grade-I),Computer Science and Engineering,Scheduling theory,3,5,0,0,0,8,['scheduling theory'],scheduling theory,Computer Systems,0,False
13,Dr Nagendra Pratap Singh,Assistant Professor (Grade-I),Computer Science and Engineering,"ML,Computer Networks",29,22,8,0,1,59,"['machine learning', 'computer networks']",machine learning,AI & ML,1,True
14,Dr Samayveer Singh,Assistant Professor (Grade-I),Computer Science and Engineering,Wireless Sensor Networks,71,25,12,1,0,108,['wireless sensor networks'],wireless sensor networks,Other,1,True
15,Dr Urvashi,Assistant Professor (Grade-I),Computer Science and Engineering,AI,28,21,6,0,2,55,['artificial intelligence'],artificial intelligence,AI & ML,2,True
16,Dr Armaan Garg,Assistant Professor Grade-II,Computer Science and Engineering,0,0,0,0,0,0,0,['other'],other,Other,0,False
17,Dr Avtar Singh,Assistant Professor (Grade-II),Computer Science and Engineering,Cloud Computing,16,19,6,0,0,41,['cloud computing'],cloud computing,Networking & Communications,0,False
18,Dr Banalaxmi Brahma,Assistant Professor (Grade-II),Computer Science and Engineering,DL,5,4,0,0,0,9,['deep learning'],deep learning,AI & ML,0,False
19,Dr Gopendra,Assistant Professor Grade-II,Computer Science and Engineering,0,0,0,0,0,0,0,['other'],other,Other,0,False
20,Dr Himanshu Verma,Assistant Professor Grade-II,Computer Science and Engineering,Wireless Personal Area,5,11,4,0,0,20,['wireless networks'],wireless networks,Other,0,False
21,Dr Jagdeep Kaur,Assistant Professor (Grade-II),Computer Science and Engineering,ML,8,9,5,1,1,22,['machine learning'],machine learning,AI & ML,2,True
22,Dr Madhurima Buragohain,Assistant Professor (Grade-II),Computer Science and Engineering,Computer Networks,2,5,2,0,0,9,['computer networks'],computer networks,Networking & Communications,0,False
23,Dr Naina Yadav,Assistant Professor (Grade-II),Computer Science and Engineering,Natural Language Processing,5,6,1,0,0,12,['natural language processing'],natural language processing,AI & ML,0,False
24,Dr Muktesh Gupta,Assistant Professor Grade-II,Computer Science and Engineering,Time Series Diagnostics,8,11,0,0,0,19,['time series analysis'],time series analysis,AI & ML,0,False
25,Dr Prashant Kumar,Assistant Professor (Grade-II),Computer Science and Engineering,ML,10,19,5,0,1,34,['machine learning'],machine learning,AI & ML,1,True
26,Dr Pranjal,Assistant Professor Grade-II,Computer Science and Engineering,0,0,0,0,0,0,0,['other'],other,Other,0,False
27,Dr Prashant Shukla,Assistant Professor Grade-II,Computer Science and Engineering,Wireless Sensor Network,6,6,0,0,0,12,['wireless sensor networks'],wireless sensor networks,Other,0,False
28,Mr Rahul Aggarwal,Assistant Professor,Computer Science and Engineering,ML,1,1,0,0,0,2,['machine learning'],machine learning,AI & ML,0,False
29,Dr Shefali Arora Chouhan,Assistant Professor (Grade-II),Computer Science and Engineering,Data Mining,11,8,4,0,0,23,['data mining'],data mining,AI & ML,0,False
30,Dr Shveta Mahajan,Assistant Professor (Grade-II),Computer Science and Engineering,ML,3,19,1,1,2,23,['machine learning'],machine learning,AI & ML,3,True
31,Dr Somesula Manoj Kumar,Assistant Professor (Grade-II),Computer Science and Engineering,wireless networks,14,2,0,0,0,16,['wireless networks'],wireless networks,Other,0,False
32,Dr Sumit Kumar,Assistant Professor (Grade-II),Computer Science and Engineering,Cloud Computing,7,4,0,0,0,11,['cloud computing'],cloud computing,Networking & Communications,0,False
33,Dr Swarnima Singh Gautam,Assistant Professor (Grade-II),Computer Science and Engineering,Data Mining,2,2,0,0,0,4,['data mining'],data mining,AI & ML,0,False
1,Dr Vijay Kumar,Associate Professor & Head,Information Technology,Deep Learning,131,13,24,4,3,168,['deep learning'],deep learning,AI & ML,7,True
2,Dr Kusum Bharti,Assistant Professor (Grade-I),Information Technology,Machine Learning,18,11,2,1,1,31,['machine learning'],machine learning,AI & ML,2,True
3,Dr Mohit Kumar,Assistant Professor (Grade-I),Information Technology,AI,57,12,4,0,2,73,['artificial intelligence'],artificial intelligence,AI & ML,2,True
4,Dr Nisha Chaurasia,Assistant Professor (Grade-I),Information Technology,AI,19,18,8,0,1,45,['artificial intelligence'],artificial intelligence,AI & ML,1,True
5,Dr Ranjeet Kumar Rout,Assistant Professor (Grade-I),Information Technology,Deep Learning,59,21,4,1,2,84,['deep learning'],deep learning,AI & ML,3,True
6,Dr Abhishek Narwaria,Assistant Professor Grade-II,Information Technology,"Machine learning, Deep learning",4,5,0,0,0,9,"['machine learning', 'deep learning']",machine learning,AI & ML,0,False
7,Dr Arun Kumar,Assistant Professor Grade-II,Information Technology,"Machine Learning, Deep Learning",4,4,0,2,0,8,"['machine learning', 'deep learning']",machine learning,AI & ML,2,True
8,Dr Avani Vyas,Assistant Professor (Grade-II),Information Technology,Networking and Communication,5,8,5,0,0,18,['computer networks'],computer networks,Networking & Communications,0,False
9,Dr Bharat Krishan Mahaur,Assistant Professor Grade-II,Information Technology,Optimization,0,0,0,0,0,0,['optimization'],optimization,Theory & Optimization,0,False
10,Dr Ikkurthi Bhanu Prasad,Assistant Professor Grade-II,Information Technology,Machine Learning,6,5,0,0,0,11,['machine learning'],machine learning,AI & ML,0,False
11,Dr Jaspal Kaur Saini,Assistant Professor Grade-II,Information Technology,"Machine learning, Deep learning",5,6,0,0,1,11,"['machine learning', 'deep learning']",machine learning,AI & ML,1,True
12,Dr Kumar Prateek,Assistant Professor Grade-II,Information Technology,Machine Learning,5,1,2,0,0,8,['machine learning'],machine learning,AI & ML,0,False
12,Dr Naveen Kumar Gupta,Assistant Professor Grade-II,Information Technology,"AI, Machine Learning",10,12,1,0,1,23,"['artificial intelligence', 'machine learning']",artificial intelligence,AI & ML,1,True
13,Dr Neeraj Kumar,Assistant Professor Grade-II,Information Technology,Machine Learning,21,12,5,0,0,38,['machine learning'],machine learning,AI & ML,0,False
14,Dr Pallabi Sharma,Assistant Professor Grade-II,Information Technology,"Machine learning, Deep learning",8,0,0,0,0,8,"['machine learning', 'deep learning']",machine learning,AI & ML,0,False
15,Dr Rabi Shaw,Assistant Professor Grade-II,Information Technology,"Machine learning, Deep learning",5,10,6,0,0,21,"['machine learning', 'deep learning']",machine learning,AI & ML,0,False
16,Dr Ravi Yadav,Assistant Professor Grade-II,Information Technology,Blockchain,5,0,0,0,0,5,['blockchain'],blockchain,Distributed Systems,0,False
17,Dr Simranjit Singh,Assistant Professor Grade-II,Information Technology,"Machine learning, Deep learning",12,5,1,3,0,18,"['machine learning', 'deep learning']",machine learning,AI & ML,3,True
18,Dr Vikas Chauhan,Assistant Professor Grade-II,Information Technology,"Machine learning, Deep learning",6,4,0,0,1,10,"['machine learning', 'deep learning']",machine learning,AI & ML,1,True
1,Dr Dilbag Singh,Professor,Instrumentation and Control Engineering,"Electrical Measurements and Instrumentation, Control System",58,9,5,3,0,72,"['instrumentation & control', 'control systems']",instrumentation & control,Signal Processing & Control,3,True
2,Dr Kuldeep Singh Nagla,Professor & Head,Instrumentation and Control Engineering,Autonomous Mobile Robot,33,29,2,5,0,64,['robotics'],robotics,Robotics & Automation,5,True
3,Dr Sharvan Kumar Pahuja,Professor,Instrumentation and Control Engineering,Control Systems,27,11,5,5,0,43,['control systems'],control systems,Signal Processing & Control,5,True
4,Er Narinder Singh Bhangal,Associate Professor,Instrumentation and Control Engineering,Inverted Pendulum System,11,13,0,0,0,24,['control systems'],control systems,Signal Processing & Control,0,False
5,Dr Rajesh Singla,Associate Professor,Instrumentation and Control Engineering,Machine Learning,26,25,6,0,3,57,['machine learning'],machine learning,AI & ML,3,True
6,Dr Roop Pahuja,Associate Professor,Instrumentation and Control Engineering,Remote Sensing,34,22,3,3,0,59,['remote sensing'],remote sensing,Other,3,True
7,Dr Sheela Tiwari,Associate Professor,Instrumentation and Control Engineering,Machine Learning,21,27,2,0,0,50,['machine learning'],machine learning,AI & ML,0,False
8,Dr Afzal Sikander,Assistant Professor (Grade-I),Instrumentation and Control Engineering,Control Theory and Applications,54,34,22,2,1,110,['control systems'],control systems,Signal Processing & Control,3,True
9,Dr Amit Kumar Singh,Assistant Professor (Grade-I),Instrumentation and Control Engineering,Controller Design,19,14,9,0,0,42,['control systems'],control systems,Signal Processing & Control,0,False
10,Dr Anil Kumar Yadav,Assistant Professor (Grade-I),Instrumentation and Control Engineering,Intelligent & Nonlinear Control,55,9,6,2,2,70,"['control systems', 'control systems']",control systems,Signal Processing & Control,4,True
11,Dr Karan Veer,Assistant Professor (Grade-I),Instrumentation and Control Engineering,biomedical instrumentation and Machine Learning,47,5,9,1,1,61,['machine learning'],machine learning,AI & ML,2,True
12,Dr Om Prakash Verma,Assistant Professor (Grade-I),Instrumentation and Control Engineering,Computer Vision,52,1,26,1,3,79,['computer vision'],computer vision,AI & ML,4,True
13,Dr Ravi Verma,Assistant Professor (Grade-I),Instrumentation and Control Engineering,Low temperature Instrumentation,7,9,3,0,3,19,['instrumentation & control'],instrumentation & control,Signal Processing & Control,3,True
14,Dr Richa Sharma,Assistant Professor (Grade-I),Instrumentation and Control Engineering,Brain-Computer Interface (BCI),15,8,2,0,1,25,"['brain-computer interface', 'brain-computer interface']",brain-computer interface,Signal Processing & Control,1,True
15,Dr Deblina Biswas,Assistant Professor (Grade-II),Instrumentation and Control Engineering,Biointsrumentation,13,7,4,1,0,24,['biomedical instrumentation'],biomedical instrumentation,Biotech & Life Sciences,1,True
16,Dr Karan Jain,Assistant Professor (Grade-II),Instrumentation and Control Engineering,Biomedical instrumentation.,10,8,0,0,1,18,['biomedical instrumentation'],biomedical instrumentation,Biotech & Life Sciences,1,True
17,Dr Mahendra Kumar,Assistant Professor (Grade-II),Instrumentation and Control Engineering,Advances in Control Theory,20,15,0,0,2,35,['control systems'],control systems,Signal Processing & Control,2,True
