Electrical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
1,Dr Balbir Singh Kaith,Professor (HAG),291,12,19,2,5,Nanotechnology
2,Dr N C Kothiyal,Professor (HAG),63,5,7,12,0,Nanotechnology
3,Dr Jaspreet Kaur Rajput,Associate Professor,62,6,10,9,2,Nanotechnology
4,Dr Rajeev Jindal,Associate Professor,97,89,6,1,0,Nanotechnology
5,Dr Rakesh Kumar,Associate Professor,31,7,1,3,1,Organic synthesis
6,Dr Sadhika Khullar,Associate Professor,55,2,5,2,1,Organic synthesis
7,Dr Sangeeta Obrai,Associate Professor,39,1,2,0,0,Inorganic synthesis
8,Dr Uma Shanker,Associate Professor & Head,119,15,36,3,2,Nanotechnology
9,Dr Vickram Jeet Singh,Associate Professor,51,0,5,1,1,Ionic Liquid
10,Dr Vimal Kumar,Associate Professor,48,4,1,1,0,Inorganic synthesis
11,Dr Manisha Devi,Assistant Professor Grade-II,25,0,3,1,0,Ionic Liquid
12,Dr Poonam Rani,Assistant Professor Grade-II,20,0,0,0,0,Ionic Liquid
13,Dr Sanjeeb Sutradhar,Assistant Professor Grade-II,9,0,1,0,0,Organic synthesis
,,,910,141,96,35,12,
,,,,,,Total= 1194,,
Chemical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Mithilesh Kumar Jha,Professor (HAG),102,121,7,19,0,Waste Water Treatment
2,Dr Ajay Bansal,Professor,73,54,18,6,1,Waste Water Treatment
3,Dr Renu Gupta,Professor,30,66,8,8,0,Waste Water Treatment
4,Dr Sangeeta Garg,Professor,42,59,13,9,1,Waste Water Treatment
5,Dr Shailendra Bajpai,Professor,23,39,5,1,0,Waste Water Treatment
6,Dr Jatinder Kumar Ratan,Associate Professor,50,71,6,5,9,Computational Fluid Dynamics
7,Dr. N. K. Srivastava,Associate Professor,22,52,5,0,0,Renewable Energy
8,Dr Poonam Gera,Associate Professor,22,62,8,3,1,Renewable Energy
9,Dr Raj Kumar Arya,Associate Professor,95,24,47,3,1,Hydrogen Energy
10,Dr Amit Dhruv Saran,Assistant Professor (Grade-I),15,23,2,0,1,Nanotechnology
11,Dr Anjireddy Bhavanam,Assistant Professor (Grade-I),15,46,10,5,2,Waste Water Treatment
12,Dr Anurag Kumar Tiwari,Assistant Professor (Grade-I),35,17,7,0,0,Computational Fluid Dynamics 
13,Dr D Giribabu,Assistant Professor (Grade-I),9,1,2,1,1,Waste Water Treatment
14,Dr Deepak Sahu,Assistant Professor (Grade-I),14,20,8,2,2,Chemical Process Safety
15,Dr Neetu Divya,Assistant Professor (Grade-I),15,42,5,1,0,Waste Water Treatment
16,Dr. Nitin Naresh Pandhare,Assistant Professor (Grade-I),9,9,4,1,1,Environmental Engineering
17,Dr Shashikant Yadav,Assistant Professor (Grade-I),16,22,8,0,5,Environmental Engineering
18,Dr Umashankar Erigi,Assistant Professor (Grade-II),3,5,0,0,0,Nanotechnology
,,,590,733,163,64,25,
,,,,,,Total= 1575,,
Mechanical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Dinesh Kumar Shukla,Professor,43,26,0,0,0,Welding Technology
2,Dr Joseph Anand Vaz,Professor,18,10,9,4,0,Mechatronics
3,Dr Pramod Kumar,Professor,38,13,7,4,0,Renewable Energy
4,Dr Raman Bedi,Professor,63,30,7,0,2,Structure Property correlation
5,Dr Srinivas Tangellapalli,Professor & Head,77,79,18,3,1,Renewable Energy
6,Dr Subhash Chander,Professor,57,16,1,1,1,Renewable Energy
7,Mr. Ajay Trehan,Associate Professor,1,3,2,1,0,Renewable Energy
8,Dr Dushyant Singh,Associate Professor,32,19,8,1,3,Turbulent Flows
9,Dr R S Bharj,Associate Professor,60,4,3,0,0,Renewable Energy
10,Dr Rajeev Kukreja,Associate Professor,28,23,4,0,2,Renewable Energy
11,Dr S K Tiwari,Associate Professor,34,7,3,0,0,Welding Technology
12,Dr Sarbjot Singh Sandhu,Associate Professor,39,15,7,2,0,Renewable Energy
13,Dr Ashok Kumar Bagha,Assistant Professor (Grade-I),38,37,4,2,1,Vibration Engineering
14,Dr Dwesh K. Singh,Assistant Professor (Grade-I),30,11,3,1,1,Computational Fluid Dynamics
15,Dr Harpreet Singh,Assistant Professor (Grade-I),22,11,6,3,2,Nanotechnology
16,Dr Manoj Kumar,Assistant Professor (Grade-I),46,23,9,0,0,Nanotechnology
17,Dr Nitin Sharma,Assistant Professor (Grade-I),20,20,3,1,1,Surface Textures
18,Dr Parnika Shrivastava,Assistant Professor (Grade-I),15,4,11,0,1,Product Design and Innovation
19,Dr Rajan Kumar,Assistant Professor (Grade-I),57,6,9,0,2,Nanotechnology
20,Dr Sanjay,Assistant Professor (Grade-I),38,12,5,2,1,Renewable Energy
21,Dr Satyender Singh,Assistant Professor (Grade-I),43,7,4,3,3,Fluid Machinery
22,Dr Saurabh Kango,Assistant Professor (Grade-I),34,28,7,1,2,Non-Newtonian Rheologies of lubricants
23,Dr Sumit Sharma,Assistant Professor (Grade-I),68,21,18,2,0,Nanotechnology
24,Dr Ravi Kant Ravi,Assistant Professor (Grade-II),14,6,4,0,3,Solar Thermal Systems
25,Dr Ranchan Chauhan,Assistant Professor,56,9,1,1,0,Thermal Engineering
,,,971,440,153,32,26,
,,,,,,Total=1622,,
Physics,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Arvinder Singh,Professor (HAG),93,8,0,1,1,Laser-Plasma accelerators
2,Dr H M Mittal,Professor & Head,51,117,0,1,0,Theoretical Nuclear Physics
3,Dr Rohit Mehra,Professor,215,8,8,6,1,Nanotechnology
4,Dr Abhinav Pratap Singh,Associate Professor,42,0,1,2,1,Condensed matter physics
5,Dr Arvind Kumar,Associate Professor,50,50,0,2,1,Theoretical High Energy Physics
6,Dr Harleen Dahiya,Associate Professor,64,0,2,7,2,Theoretical High Energy Physics
7,Dr Jyoti Bharj,Associate Professor,10,4,1,0,0,Nanotechnology
8,Dr Kiran Singh,Associate Professor,81,39,0,3,3,Multiferroics
9,Dr Praveen Malik,Associate Professor,86,18,2,7,2,Nanotechnology
10,Dr Suneel Dutt,Associate Professor,8,14,0,2,0,Detector Development
11,Dr Vinod Ashokan,Associate Professor,34,3,0,3,1,Nanotechnology
12,Dr Shishram Rebari,Assistant Professor Grade-II,6,1,1,0,0,Condensed Matter Physics
13,Dr Shubhchintak,Assistant Professor Grade-II,28,0,0,0,0,Nuclear astrophysics
,,,768,262,15,34,12,
,,,,,,Total= 1091,,
Textile Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr J N Chakraborty,Professor (HAG),171,23,8,1,1,Waste Water Management 
2,Dr S K Sinha,Professor (HAG),62,27,4,2,0,Yarn Manufacturing 
3,Dr A Chatterjee,Professor,28,18,9,1,0,Fibre Science 
4,Dr Arunangshu Mukhopadhyay,Professor,176,55,13,4,8,Fibre Science 
5,Dr A K Choudhary,Professor,69,55,5,8,3,Yarn Manufacturing 
6,Dr Monica Sikka,Professor & Head,46,48,13,2,0,Healthcare Textiles
7,Dr Vinay Midha,Professor,90,46,18,2,5,Healthcare Textiles 
8,Dr Lalit Jajpura,Associate Professor,51,21,11,3,4,Textile Chemical Preprocessing 
9,Dr M D Roy,Associate Professor,18,19,1,0,0,Technical Textile 
10,Dr N Bhowmick,Associate Professor,18,6,0,0,0,Water Science 
11,Dr Palaniswamy N. K.,Associate Professor,24,6,1,1,3,Technical Textile 
12,Dr Anilkumar Lalchand Yadav,Assistant Professor (Grade-II),16,11,4,3,1,Textile Chemical Preprocessing 
13,Dr K V P Singh,Assistant Professor,15,21,12,0,0,Garment Design 
14,Dr Mukesh Bajya,Assistant Professor (Grade-II),22,8,3,0,5,Technical Textile 
15,Dr. Priyanka Gupta,Assistant Professor (Grade-II),10,10,3,1,2,Yarn Manufacturing 
16,Dr Zunjarrao Bapuso Kamble,Assistant Professor (Grade-II),22,7,3,0,5,Textile Waste Recycling 
,,,838,381,108,28,37,
,,,,,,Total= 1392,,
,,,,,,,,
Civil Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Arvind K Agnihotri,Professor (HAG) & Head,76,0,9,2,0,Geotechnical Engineering
2,Dr S P SINGH,Professor (HAG),1,4,5,2,0,Structural Engineering
3,Dr Hemant S. Chore,Associate Professor,84,230,4,9,1,Soil-Structure Interaction
4,Dr Davinder Singh,Assistant Professor (Grade-I),19,34,17,1,0,Water & Waste Water Treatment
5,Dr Kanish Kapoor,Assistant Professor (Grade-I),52,32,11,1,4,Durability evaluation of different concretes
6,Dr Mahesh Patel,Assistant Professor (Grade-I),29,41,7,1,6,Turbulent fluvial flows
7,Dr Navdeep Singh,Assistant Professor (Grade-I),29,41,14,2,2,Durability behavior of concrete composites
8,Dr Neelam Rani,Assistant Professor (Grade-I),6,17,3,1,1,Structural Engineering
9,Dr Rupali Satavalekar,Assistant Professor (Grade-I),33,46,7,0,0,Geotechnical Engineering
10,Dr Senthil Kasilingam,Assistant Professor (Grade-I),59,88,10,4,0,Concrete Structures
11,Dr. Shailja Bawa,Assistant Professor (Grade-I),19,47,13,0,0,Transportation Engineering
12,Dr Shashi Kant Sharma,Assistant Professor (Grade-I),31,31,2,1,0,Geopolymer concrete
13,Dr Abhishek Sharma,Assistant Professor (Grade-II),4,6,0,1,0,Bridge engineering
14,Dr Arvind Kumar Bairwa,Assistant Professor Grade-II,3,3,0,0,0,Environmental Fluid Dynamics
15,Dr Arya Anuj Jee,Assistant Professor (Grade-II),5,5,5,0,0,Durability study of concrete under aggressive environment
16,Dr Kumbamutlang War,Assistant Professor Grade-II,0,0,0,0,0,Geotechnical Engineering
17,Dr Koteswaraarao Jadda,Assistant Professor (Grade-II),12,5,4,0,0,Geotechnical and Geoenvironmental Engineering
18,Dr Phibe Khalkho,Assistant Professor (Grade-II),2,7,2,0,0,Experimental Rock Mechanics
19,Dr Roop Kishor,Assistant Professor (Grade-II),6,12,0,0,0,Highway Materials
20,Dr Sabyasachi Swain,Assistant Professor Grade-II,0,0,0,0,0,
21,Dr Vinil Kumar Gade,Assistant Professor (Grade-II),7,12,4,0,0,Earth Retaining Structures
,,,477,661,117,25,14,
,,,,,,,Total=1294,
Industrial Production and Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Arvind Bhardwaj,Professor (HAG),70,68,17,1,0,"Life Cycle Assessment,Operations Management"
2,Dr Rajiv Kumar Garg,Professor (HAG,93,28,7,0,1,"Life Cycle Assessment, Traditional Machining"
3,Dr Anish Kumar Sachdeva,Professor,119,62,23,0,3,Supply Chain Management
4,Dr Vishal Santosh Sharma,Professor,74,5,8,0,0,"3D printing, Machining,"
5,Dr Ajay Gupta,Associate Professor,56,34,7,0,1,Management Marketing
6,Dr Lakhwinder Pal Singh Jarangal,Associate Professor,60,49,64,2,0,Supply Chain Management
7,Dr Rajeev Trehan,Associate Professor,37,11,3,2,1,Productivity Improvement and Advanced Manufacturing
8,Dr. Rakesh K. Sharma,Associate Professor & Head,27,19,4,0,0,"Engineering Management, Engineering Economics"
9,Prof. R K Bansal,Associate Professor,0,3,1,0,0,Operations Management
10,Dr Shailendra Singh Bhadauria,Associate Professor,33,21,8,0,0," Multiaxial Fatigue life prediction of weldments, Stress Corrosion Cracking"
11,Dr Aviral Mishra,Assistant Professor (Grade-I),14,7,5,0,1,"Additive manufacturing, Manufacturing of composites"
12,Dr. Narendra Kumar,Assistant Professor (Grade-I),28,13,15,1,4,3D Printing
13,Dr Rajeev Verma,Assistant Professor (Grade-I),51,30,10,2,1,"Surface Engineering, Tribology"
14,Dr Varun Sharma,Assistant Professor (Grade-I),42,22,8,1,0,"Material Science, Tribology,welding"
15,Dr Bikash Kumar,Assistant Professor (Grade-II),16,14,4,0,3,Welding
16,Dr Gurraj Singh,Assistant Professor (Grade-II),35,9,1,0,2,"Machining, Life Cycle Assessment,"
17,Dr Vikash Murmu,Assistant Professor Grade-II,0,0,0,0,0,Supply chain management
,,,755,395,185,9,17,
,,,,,,,Total=1361,
Computer Science and Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Ajay K Sharma,Professor (on lien),209,34,11,5,3,Wireless Communication Systems
2,Dr A L Sangal,Professor (HAG) & Head,29,19,3,0,0,"ML,Computer Networks"
3,Dr Harsh K Verma,Professor,64,44,4,2,0,Computer Networks
4,Dr Renu Dhir,Professor,30,11,5,1,1,AI
5,Mr D K Gupta,Associate Professor,10,15,3,0,0,"Data Analytics, Operating System Design"
6,Dr Geeta Sikka,Associate Professor (on lien),54,22,8,2,2,Natural Language Processing
7,Dr Rajneesh Rani,Associate Professor,72,39,11,2,0,Digital Image Processing
8,Dr Amritpal Singh,Assistant Professor (Grade-I),23,6,2,1,0,Probabilistic Data Structures
9,Dr Aruna Malik,Assistant Professor (Grade-I),47,18,3,0,0,Virtual private network (VPN)
10,Dr K P Sharma,Assistant Professor (Grade-I),28,23,10,1,3,AI
11,Dr Kunwar Pal,Assistant Professor (Grade-I),12,6,1,0,1,Computer Network
12,Dr Lalatendu Behera,Assistant Professor (Grade-I),3,5,0,0,0,Scheduling theory
13,Dr Nagendra Pratap Singh,Assistant Professor (Grade-I),29,22,8,0,1,"ML,Computer Networks"
14,Dr Samayveer Singh,Assistant Professor (Grade-I),71,25,12,1,0,Wireless Sensor Networks
15,Dr Urvashi,Assistant Professor (Grade-I),28,21,6,0,2,AI
16,Dr Armaan Garg,Assistant Professor Grade-II,0,0,0,0,0,0
17,Dr Avtar Singh,Assistant Professor (Grade-II),16,19,6,0,0,Cloud Computing
18,Dr Banalaxmi Brahma,Assistant Professor (Grade-II),5,4,0,0,0,DL
19,Dr Gopendra,Assistant Professor Grade-II,0,0,0,0,0,0
20,Dr Himanshu Verma,Assistant Professor Grade-II,5,11,4,0,0,Wireless Personal Area
21,Dr Jagdeep Kaur,Assistant Professor (Grade-II),8,9,5,1,1,ML
22,Dr Madhurima Buragohain,Assistant Professor (Grade-II),2,5,2,0,0,Computer Networks
23,Dr Naina Yadav,Assistant Professor (Grade-II),5,6,1,0,0,Natural Language Processing
24,Dr Muktesh Gupta,Assistant Professor Grade-II,8,11,0,0,0,Time Series Diagnostics
25,Dr Prashant Kumar,Assistant Professor (Grade-II),10,19,5,0,1,ML
26,Dr Pranjal,Assistant Professor Grade-II,0,0,0,0,0,0
27,Dr Prashant Shukla,Assistant Professor Grade-II,6,6,0,0,0, Wireless Sensor Network
28,Mr Rahul Aggarwal,Assistant Professor,1,1,0,0,0,ML
29,Dr Shefali Arora Chouhan,Assistant Professor (Grade-II),11,8,4,0,0,Data Mining
30,Dr Shveta Mahajan,Assistant Professor (Grade-II),3,19,1,1,2,ML
31,Dr Somesula Manoj Kumar,Assistant Professor (Grade-II),14,2,0,0,0,wireless networks
32,Dr Sumit Kumar,Assistant Professor (Grade-II),7,4,0,0,0,Cloud Computing
33,Dr Swarnima Singh Gautam,Assistant Professor (Grade-II),2,2,0,0,0,Data Mining
,,,,,,,,
Information Technology ,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
,,,,,,,,
1,Dr Vijay Kumar,Associate Professor & Head,131,13,24,4,3,Deep Learning
2,Dr Kusum Bharti,Assistant Professor (Grade-I),18,11,2,1,1,Machine Learning
3,Dr Mohit Kumar,Assistant Professor (Grade-I),57,12,4,0,2,AI
4,Dr Nisha Chaurasia,Assistant Professor (Grade-I),19,18,8,0,1,AI
5,Dr Ranjeet Kumar Rout,Assistant Professor (Grade-I),59,21,4,1,2,Deep Learning
